,id,username,text,date,predict
8906,1285978808747687936,gamsterworld,ready haloinfinite halo halo6thanniversary xboxgamesshowcase xboxseriesx xbox xboxone subscribe sub4sub shooter action adventure pic twitter com qnldfayhil,2020-07-22 12:43:34 EDT,POSITIVE
10558,1286399490958786568,dunn1216,one thought location saw haloinfinite demo kind looked like made forge lmao,2020-07-23 16:35:13 EDT,NEUTRAL
9990,1286418625973428224,jrose962,looking simp mistreat onlyfans haloinfinite free trial today stupid click link,2020-07-23 17:51:15 EDT,NEGATIVE
10836,1286390796569255942,dbfig,today uploaded 3 videos xboxseriesx showcase please share leave feedback mean lot haloinfinite reaction fable reaction xboxgamesshowcase review breakdown,2020-07-23 16:00:40 EDT,NEUTRAL
7994,1286319964882755584,coachmayyne,still relevant today halo haloinfinite pic twitter com xghbzmdjlo,2020-07-23 11:19:12 EDT,NEUTRAL
900,1287955978428841986,socialscruffy,cheeky triple classic maps fun halo halo5guardians xbox xboxshare pic twitter com hw08p0kwaa,2020-07-27 23:40:08 EDT,POSITIVE
1405,1287719383821950977,ginxtvafrica,think craig brute free time listen lo fi beats chill seems legit haloinfinite halo fps gamingnews,2020-07-27 08:00:00 EDT,POSITIVE
3248,1286687628591599616,utb_nidstang,thoughts regarding xboxgamesshowcase quite hoping see glad see new games announced haloinfinite halo psychonauts2 xbox xboxseriesx 343 rare games videogames underthebun utb,2020-07-24 11:40:10 EDT,POSITIVE
8967,1285961013716819968,bigchun26314471,halo infinite campaign gameplay one day haloinfinite halo pic twitter com xeqpmxxkru,2020-07-22 11:32:52 EDT,POSITIVE
3101,1286719541028978688,jayhart_music,switched nickel neumann shockmount black neumann one tlm103 ea4shockmount homestudio halo astonhalo musicislife musicproducer producer producerlife,2020-07-24 13:46:59 EDT,POSITIVE
9342,1286446373857103873,colin8_,showed gross reach ar marines knew reason worry everything hurts haloinfinite,2020-07-23 19:41:31 EDT,NEGATIVE
3097,1286720202336432129,actuallyruckus,forget betas unfinished version game haloinfinte halo,2020-07-24 13:49:36 EDT,POSITIVE
9620,1286432579323748352,lunchbillion,surprised wake mixed negative reception haloinfinite thought looked fantastic like understand little trepidation fan base seems jaded,2020-07-23 18:46:42 EDT,POSITIVE
2775,1286831562655330304,phlerox,looming dread halo sourcefilmmaker pic twitter com rt5ijapych,2020-07-24 21:12:07 EDT,NEUTRAL
12439,1286357504490745858,brand_6752,almost year ago randomly said think haloinfinite grappling hook took theory completely ass backing sources made bet friend challenged 10 months later bet funniest thing happen reveal pic twitter com w3t5gjaptv,2020-07-23 13:48:23 EDT,POSITIVE
8157,1286288171924365313,otnmedia,get ready spartans dropping haloinfinite campaign reveal less 3 hours halo xboxgamesshowcase xbox pc,2020-07-23 09:12:52 EDT,NEGATIVE
8010,1286317259632390149,amazingchest69,finally fuckin time boys haloinfinite halo theboys pic twitter com vu45sk1ymv,2020-07-23 11:08:27 EDT,POSITIVE
2567,1286939397129216000,gamesntea,bullmytho last us gamesntea youtube youtubegaming lgbt lgbtq ps4 playstation ps5 thelastofus2 thelastofuspartii thelastofuspart2 thelastofus twitch twitter instagram tiktok facebook acnh pokemon halo xboxgamesshowcase,2020-07-25 04:20:37 EDT,NEUTRAL
10454,1286402692689035265,jjones235,great job ready play looks like put tons work check 4k 60 evening xboxseriesx haloinfinite,2020-07-23 16:47:56 EDT,POSITIVE
2442,1287043093922029568,psychosweetly,trading spring halo royalhigh halo royalhightrades,2020-07-25 11:12:40 EDT,POSITIVE
7612,1286336117298651138,stevensimmons,really hoping microsoft would show halo game could excited guess fault haloinfinite,2020-07-23 12:23:23 EDT,NEGATIVE
8821,1285997819820744706,alastor8472,halo really feels like going back old days hoping part general strategy get vibe back,2020-07-22 13:59:07 EDT,NEGATIVE
10901,1286388822171934721,dennybudlive,haloinfinite looks good less like michael bay movie see sprinting open world helloooooooo,2020-07-23 15:52:49 EDT,POSITIVE
8844,1285991907714310144,meganlolmeow,royalehightrades really want halo playing nearly 2 years royalehigh royalehighhalo royalehighshop rhtrades royalehighhalos rhhalo royalehightrading rhtrades rhtraders halo rhwinter rhhalos royalehightrader royalehightrade please help pic twitter com gju22imgbv,2020-07-22 13:35:38 EDT,NEGATIVE
11552,1286372772055310336,bennellc94,complaining halo infinite art style comparing tlou2 games like exactly thinking led 343 making 4 5 use designed art style many felt spirit halo send tweet haloinfinite,2020-07-23 14:49:03 EDT,POSITIVE
1379,1287741376394862593,manstrationsl,gamers fighting destiny halo compare absurd early halo games destiny made company bungie course going share concepts crazy concept play enjoy let others enjoy want gaming xbox,2020-07-27 09:27:23 EDT,POSITIVE
2223,1287119684601602050,primal_channel,starting halo series halo combat evolved later today 9pm est vtuber envtuber vtuberen halo haloce pic twitter com iyilwychrf,2020-07-25 16:17:00 EDT,POSITIVE
1578,1287563548810338305,hosssauced,one thing caught eye appears different speeds sprint ar seems move bit fast vs vk maybe weapons hills incline something else coming play haloinfinite halo pic twitter com 1fwpofnvlu,2020-07-26 21:40:46 EDT,NEGATIVE
745,1288118637434347525,chivagg_,haloinfinite intel revealed see similarities halo destiny hi running objectives setting points map kind navigating exploring go,2020-07-28 10:26:29 EDT,POSITIVE
2010,1287231004915240960,rookie_425,red light green light halo haloinfinite pic twitter com fvg1rswmmr,2020-07-25 23:39:21 EDT,POSITIVE
6867,1286392668667482129,davidcritchley1,looks like every halo really disappointed,2020-07-23 16:08:06 EDT,NEGATIVE
1873,1287404610697584641,adam_mwarzone,xbox fanboys frauds halo xboxseriesl pic twitter com 0ikgemjbrl,2020-07-26 11:09:12 EDT,NEUTRAL
9230,1285814951693758470,jonathanglands,panopticons halo next halo art artist artwork artoftheday arts porsche porscheclub porschemoment porschelife porscheboxster porscheclassic porschefans porschedailygirl lancashire,2020-07-22 01:52:28 EDT,POSITIVE
9950,1286420074681839619,nerdpastichepod,xbox xboxgamesshowcase microsoft xbox haloinfinite games pic twitter com jup72znr38,2020-07-23 17:57:00 EDT,NEGATIVE
